,year,artist.inverted,track,time,genre,rank,date,id
0,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-18,1
1,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-08,1
2,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-11,1
3,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-25,1
4,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-18,1
5,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-11,1
6,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-25,1
7,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-02-26,1
8,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-04,1
9,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-02-26,1
10,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-02-26,1
11,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-04,1
12,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-25,1
13,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-04,1
14,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,77.0,2000-03-18,1
15,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-08,1
16,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-01,1
17,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-18,1
18,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-25,1
19,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-01,1
20,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-18,1
21,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-08,1
22,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-02-26,1
23,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-22,1
24,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-18,1
25,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-18,1
26,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-04,1
27,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-01,1
28,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-08,1
29,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-18,1
30,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-04,1
31,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,72.0,2000-03-11,1
32,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-25,1
33,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-01,1
34,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-11,1
35,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,87.0,2000-02-26,1
36,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-18,1
37,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-25,1
38,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-02-26,1
39,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,99.0,2000-04-08,1
40,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-02-26,1
41,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-01,1
42,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-25,1
43,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-04,1
44,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-11,1
45,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,87.0,2000-03-25,1
46,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-18,1
47,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-25,1
48,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-11,1
49,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-11,1
50,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-11,1
51,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-02-26,1
52,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-02-26,1
53,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-11,1
54,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-01,1
55,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-01,1
56,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-08,1
57,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-25,1
58,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-25,1
59,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-08,1
60,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-11,1
61,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-04,1
62,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-18,1
63,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-04,1
64,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-01,1
65,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-11,1
66,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-15,1
67,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-04,1
68,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-02-26,1
69,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,94.0,2000-04-01,1
70,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,82.0,2000-03-04,1
71,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-02-26,1
72,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-01,1
73,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-03-04,1
74,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-08,1
75,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,,2000-04-01,1
76,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-10-07,2
77,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-10-07,2
78,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-02,2
79,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-30,2
80,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-30,2
81,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-09,2
82,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-30,2
83,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-10-07,2
84,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-30,2
85,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-23,2
86,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-10-14,2
87,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-23,2
88,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-10-07,2
89,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-23,2
90,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-10-07,2
91,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-16,2
92,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-23,2
93,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-16,2
94,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-09,2
95,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,91.0,2000-09-02,2
96,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-16,2
97,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-16,2
98,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-23,2
99,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-02,2
100,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-30,2
101,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-16,2
102,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-30,2
103,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-02,2
104,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-30,2
105,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-10-07,2
106,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-09,2
107,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-10-07,2
108,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-23,2
109,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-16,2
110,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-10-14,2
111,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-09,2
112,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-16,2
113,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,,2000-09-30,2
